time,batVoltage,batCurrent,solarVoltage,solarCurrent,loadVoltage,loadCurrent
14:38:05.911,3885.00,0.00,0.00,-2.50,3261.25,0.00
14:38:06.209,3885.00,-1.25,0.00,-2.50,3261.25,-1.25
14:38:06.421,3885.00,0.00,0.00,0.00,3238.75,0.00
14:38:06.676,3863.75,0.00,0.00,-1.25,3237.50,0.00
14:38:06.930,3886.25,0.00,1.25,0.00,3262.50,-1.25
14:38:07.219,3885.00,0.00,0.00,-1.25,3261.25,1.25
14:38:07.440,3885.00,0.00,0.00,-1.25,3258.75,0.00
14:38:07.695,3885.00,-1.25,0.00,0.00,3261.25,0.00
14:38:07.949,3885.00,1.25,0.00,1.25,3262.50,-1.25
14:38:08.204,3885.00,0.00,0.00,-2.50,3262.50,0.00
14:38:08.459,3885.00,1.25,1.25,1.25,3261.25,0.00
14:38:08.714,3886.25,0.00,0.00,-1.25,3260.00,1.25
14:38:08.969,3863.75,-1.25,1.25,0.00,3236.25,-1.25
14:38:09.223,3861.25,-1.25,0.00,-1.25,3237.50,-1.25
14:38:09.478,3885.00,-1.25,1.25,0.00,3262.50,1.25
14:38:09.733,3883.75,-1.25,0.00,1.25,3262.50,0.00
14:38:09.988,3883.75,0.00,0.00,-1.25,3262.50,0.00
14:38:10.264,3883.75,0.00,0.00,-1.25,3261.25,-1.25
14:38:10.497,3886.25,1.25,0.00,-1.25,3262.50,0.00
14:38:10.752,3883.75,-1.25,1.25,0.00,3261.25,-1.25
14:38:11.007,3886.25,-1.25,0.00,-2.50,3261.25,0.00
14:38:11.262,3862.50,1.25,1.25,-1.25,3238.75,1.25
14:38:11.517,3863.75,-1.25,1.25,0.00,3237.50,0.00
14:38:11.772,3883.75,-1.25,0.00,0.00,3262.50,0.00
14:38:12.039,3885.00,-1.25,1.25,-1.25,3262.50,0.00
14:38:12.281,3885.00,0.00,1.25,1.25,3262.50,0.00
14:38:12.536,3885.00,0.00,0.00,1.25,3262.50,-1.25
14:38:12.791,3885.00,0.00,1.25,-1.25,3261.25,-1.25
