11:00:08.825 -> Latitude_deg,Longitude_deg,GPS_altitude_MSL_m,Environmental_altitude_m,Linear_acceleration_X_m_s2,Linear_acceleration_Y_m_s2,Linear_acceleration_Z_m_s2,Gyroscope_X_deg_s,Gyroscope_Y_deg_s,Gyroscope_Z_deg_s,Magnetometer_X_uT,Magnetometer_Y_uT,Magnetometer_Z_uT,Quaternion_I,Quaternion_J,Quaternion_K,Quaternion_Real,Temperature_degC,Pressure_hPa,Humidity_percentRH,Packet_counter,CSID,Cell_percentage_percent,Sensor_validity_bitmask,Linear_acceleration_valid,Gyroscope_valid,Magnetometer_valid,Quaternion_valid,GPS_valid,State_of_charge_valid,Environmental_valid,All_data_fresh,Received_CRC16_decimal,RSSI_dBm,SNR_dB
11:56:15.960 -> 0.0000000,0.0000000,-17.000,177.90,0.00,0.01,-0.03,0.0,0.0,0.0,0.0,15.2,-40.0,-0.00012,0.01770,-0.01178,0.99976,27.12,992.1,29.73,156,4,51.0,111,1,1,1,1,0,1,1,0,57582,-69.0,12.0
11:56:47.962 -> 0.0000000,0.0000000,-17.000,178.11,0.00,-0.04,0.01,0.0,0.0,0.0,0.6,16.3,-40.4,0.00012,0.01770,-0.01715,0.99969,27.11,992.0,29.72,157,4,51.0,111,1,1,1,1,0,1,1,0,13354,-70.0,9.8
11:57:02.469 -> 0.0000000,0.0000000,-17.000,170.76,0.04,0.02,0.00,-0.1,0.0,0.0,-6.6,6.2,-115.4,0.07837,0.10114,-0.65007,0.74902,24.27,992.9,38.68,228,6,36.5,111,1,1,1,1,0,1,1,0,23959,-52.0,13.3
11:57:19.965 -> 0.0000000,0.0000000,-17.000,177.88,0.00,0.01,-0.03,0.0,0.0,0.0,0.6,16.5,-40.0,0.00018,0.01764,-0.01593,0.99969,27.12,992.1,29.74,158,4,51.0,111,1,1,1,1,0,1,1,0,2607,-69.0,11.5
11:57:51.953 -> 0.0000000,0.0000000,-17.000,177.82,0.00,0.00,-0.04,0.0,0.0,0.0,0.5,15.6,-39.1,-0.00012,0.01770,-0.00964,0.99982,27.13,992.1,29.68,159,4,50.5,111,1,1,1,1,0,1,1,0,13092,-70.0,11.0
11:58:04.465 -> 0.0000000,0.0000000,-17.000,170.71,-0.01,0.02,0.00,0.0,0.0,0.0,-6.6,6.6,-115.1,0.07837,0.10096,-0.64946,0.74957,24.27,992.9,38.58,229,6,36.0,111,1,1,1,1,0,1,1,0,61484,-52.0,13.3
11:58:23.960 -> 0.0000000,0.0000000,-17.000,177.70,0.00,0.01,0.01,0.0,0.0,0.0,0.5,16.0,-40.7,-0.00031,0.01764,-0.01147,0.99976,27.14,992.1,29.60,160,4,50.0,111,1,1,1,1,0,1,1,0,14344,-69.0,11.0
11:58:55.953 -> 0.0000000,0.0000000,-17.000,177.83,0.01,0.01,0.01,0.0,0.0,0.0,-0.1,16.3,-39.7,-0.00031,0.01801,-0.01209,0.99976,27.09,992.1,29.64,161,4,50.0,111,1,1,1,1,0,1,1,0,47630,-70.0,10.5
11:59:09.463 -> 0.0000000,0.0000000,-17.000,170.53,0.00,0.03,0.00,0.0,0.0,0.0,-8.4,4.4,-115.0,0.07917,0.10071,-0.65349,0.74596,24.25,992.9,38.55,230,6,35.0,111,1,1,1,1,0,1,1,0,39527,-52.0,13.0
11:59:27.961 -> 0.0000000,0.0000000,-17.000,177.92,0.00,-0.03,0.01,0.0,0.0,0.0,1.1,15.5,-38.7,-0.00018,0.01770,-0.01233,0.99976,27.10,992.1,29.67,162,4,49.5,111,1,1,1,1,0,1,1,0,59435,-70.0,10.5
12:00:11.461 -> 0.0000000,0.0000000,-17.000,170.90,0.00,-0.02,0.00,0.0,0.0,0.0,-6.2,5.8,-114.3,0.07855,0.10120,-0.64678,0.75182,24.23,992.9,38.54,231,6,34.5,111,1,1,1,1,0,1,1,0,21095,-52.0,13.0
12:00:29.958 -> 0.0000000,0.0000000,-17.000,177.81,0.00,0.00,0.01,-0.2,0.0,-0.1,0.6,16.3,-40.3,-0.00018,0.01770,-0.01245,0.99976,27.13,992.1,29.56,163,4,49.0,111,1,1,1,1,0,1,1,0,56804,-70.0,11.0
12:01:30.961 -> 0.0000000,0.0000000,-17.000,177.88,0.00,0.01,0.02,0.0,0.0,0.0,0.3,15.9,-40.0,0.00018,0.01764,-0.01715,0.99969,27.11,992.1,29.56,164,4,48.5,111,1,1,1,1,0,1,1,0,33604,-70.0,10.8
12:02:12.458 -> 0.0000000,0.0000000,-17.000,170.64,0.03,-0.02,0.00,0.0,0.0,0.0,-6.6,6.2,-115.1,0.07849,0.10102,-0.64940,0.74963,24.25,992.9,38.60,232,6,33.0,111,1,1,1,1,0,1,1,0,25816,-52.0,13.3
12:02:31.957 -> 0.0000000,0.0000000,-17.000,177.40,0.00,0.01,0.01,0.0,0.0,0.0,0.1,16.3,-40.4,0.00012,0.01770,-0.01874,0.99969,27.14,992.1,29.58,165,4,48.0,111,1,1,1,1,0,1,1,0,50713,-70.0,10.3
12:03:32.956 -> 0.0000000,0.0000000,-17.000,177.57,0.00,0.00,0.00,0.0,0.0,0.0,0.9,15.8,-39.1,0.00018,0.01764,-0.01288,0.99976,27.12,992.1,29.51,166,4,47.5,111,1,1,1,1,0,1,1,0,62613,-70.0,10.5
12:04:17.463 -> 0.0000000,0.0000000,-17.000,170.06,-0.01,0.02,0.01,0.0,0.0,0.0,-7.7,6.9,-115.4,0.07880,0.10108,-0.64940,0.74957,24.21,993.0,38.70,233,6,31.5,111,1,1,1,1,0,1,1,0,21650,-52.0,13.0
12:04:33.949 -> 0.0000000,0.0000000,-17.000,177.50,0.00,0.00,0.00,-0.2,0.1,-0.1,-0.1,16.1,-41.6,0.00024,0.01776,-0.01355,0.99976,27.10,992.1,29.62,167,4,47.0,111,1,1,1,1,0,1,1,0,18746,-70.0,10.5
12:05:34.955 -> 0.0000000,0.0000000,-17.000,177.62,0.00,0.01,0.01,0.0,0.0,0.0,-0.2,15.8,-40.4,-0.00018,0.01770,-0.01764,0.99969,27.11,992.1,29.61,168,4,46.5,111,1,1,1,1,0,1,1,0,3414,-70.0,10.5
12:06:18.456 -> 0.0000000,0.0000000,-17.000,171.00,0.00,-0.03,-0.03,0.0,0.0,0.0,-6.9,7.7,-113.9,0.07697,0.10254,-0.63695,0.76012,24.22,992.9,38.65,234,6,30.5,111,1,1,1,1,0,1,1,0,38103,-52.0,13.0
12:06:35.951 -> 0.0000000,0.0000000,-17.000,177.90,0.00,0.01,0.01,-0.1,0.0,0.0,-0.7,16.6,-39.8,-0.00043,0.01758,-0.01251,0.99976,27.08,992.1,29.60,169,4,46.0,111,1,1,1,1,0,1,1,0,8655,-69.0,10.5
12:07:37.957 -> 0.0000000,0.0000000,-17.000,177.57,0.00,0.01,0.01,0.0,0.0,0.0,-0.6,16.8,-41.4,-0.00043,0.01758,-0.01263,0.99976,27.08,992.1,29.59,170,4,45.5,111,1,1,1,1,0,1,1,0,356,-70.0,10.0
12:08:19.461 -> 0.0000000,0.0000000,-17.000,170.33,0.00,0.03,0.01,0.0,0.0,0.0,-6.6,6.6,-113.9,0.08106,0.09980,-0.66521,0.73547,24.22,993.0,38.55,235,6,29.0,111,1,1,1,1,0,1,1,0,60406,-51.0,13.3
12:08:38.950 -> 0.0000000,0.0000000,-17.000,177.64,0.00,0.01,-0.02,-0.1,0.0,0.0,-0.4,16.4,-40.9,-0.00031,0.01764,-0.01630,0.99969,27.10,992.1,29.53,171,4,45.0,111,1,1,1,1,0,1,1,0,14967,-70.0,10.3
12:09:39.953 -> 0.0000000,0.0000000,-17.000,177.62,0.00,-0.03,-0.04,0.0,0.0,0.0,0.0,16.1,-41.2,0.00024,0.01770,-0.01642,0.99969,27.09,992.1,29.54,172,4,44.5,111,1,1,1,1,0,1,1,0,32867,-71.0,10.5
12:10:20.461 -> 0.0000000,0.0000000,-17.000,170.02,0.00,-0.02,0.01,0.0,0.1,0.0,-6.9,6.6,-114.7,0.08026,0.09980,-0.66283,0.73772,24.23,993.0,38.51,236,6,27.5,111,1,1,1,1,0,1,1,0,48617,-52.0,13.3
12:10:44.954 -> 0.0000000,0.0000000,-17.000,177.53,0.01,0.00,0.00,0.0,0.0,0.0,1.6,15.8,-39.8,0.00024,0.01770,-0.01642,0.99969,27.10,992.1,29.58,173,4,44.0,111,1,1,1,1,0,1,1,0,5745,-70.0,10.0
12:11:45.945 -> 0.0000000,0.0000000,-17.000,177.80,0.00,0.00,0.02,0.0,0.1,0.1,1.1,15.6,-40.2,0.00012,0.01770,-0.01086,0.99976,27.07,992.1,29.47,174,4,43.0,111,1,1,1,1,0,1,1,0,18440,-69.0,11.0
12:12:21.461 -> 0.0000000,0.0000000,-17.000,170.50,0.00,0.01,0.00,0.0,0.0,0.0,-6.6,6.9,-113.9,0.07929,0.10071,-0.65429,0.74529,24.23,992.9,38.50,237,6,25.5,111,1,1,1,1,0,1,1,0,2962,-51.0,13.3
12:12:46.950 -> 0.0000000,0.0000000,-17.000,177.66,0.00,-0.02,-0.02,0.0,0.0,0.0,0.4,15.6,-39.6,0.00006,0.01770,-0.01520,0.99976,27.08,992.1,29.49,175,4,43.0,111,1,1,1,1,0,1,1,0,37822,-70.0,10.3
12:13:51.950 -> 0.0000000,0.0000000,-17.000,177.58,0.00,0.01,-0.03,-0.2,-0.1,0.0,0.8,15.6,-39.9,0.00006,0.01770,-0.01520,0.99976,27.12,992.1,29.43,176,4,42.5,111,1,1,1,1,0,1,1,0,22774,-70.0,10.5
12:14:24.456 -> 0.0000000,0.0000000,-17.000,170.52,0.00,0.01,0.02,0.0,0.0,0.0,-6.6,7.7,-115.0,0.07886,0.10120,-0.65111,0.74804,24.21,992.9,38.56,238,6,24.0,111,1,1,1,1,0,1,1,0,9512,-51.0,13.5
12:14:52.953 -> 0.0000000,0.0000000,-17.000,177.77,0.00,0.01,0.00,0.0,0.0,0.0,0.8,15.3,-39.9,0.00012,0.01764,-0.01788,0.99969,27.08,992.1,29.49,177,4,41.5,111,1,1,1,1,0,1,1,0,22920,-69.0,10.8
12:15:57.957 -> 0.0000000,0.0000000,-17.000,177.99,0.00,-0.04,0.01,0.0,0.0,-0.1,0.1,17.1,-39.7,0.00012,0.01764,-0.01788,0.99969,27.03,992.1,29.54,178,4,41.0,111,1,1,1,1,0,1,1,0,47793,-70.0,11.0
12:16:25.457 -> 0.0000000,0.0000000,-17.000,170.50,0.00,0.02,-0.04,-0.2,-0.2,0.0,-7.3,5.1,-115.0,0.07904,0.10096,-0.65319,0.74621,24.17,992.9,38.57,239,6,22.0,111,1,1,1,1,0,1,1,0,17852,-52.0,13.0
12:16:58.957 -> 0.0000000,0.0000000,-17.000,177.99,0.00,0.00,0.01,0.0,0.0,0.1,1.3,15.8,-39.4,0.00012,0.01770,-0.01141,0.99976,27.06,992.1,29.48,179,4,40.5,111,1,1,1,1,0,1,1,0,21421,-70.0,10.0
