16:38:07.440 -> Latitude_deg,Longitude_deg,GPS_altitude_MSL_m,Environmental_altitude_m,Linear_acceleration_X_m_s2,Linear_acceleration_Y_m_s2,Linear_acceleration_Z_m_s2,Gyroscope_X_deg_s,Gyroscope_Y_deg_s,Gyroscope_Z_deg_s,Magnetometer_X_uT,Magnetometer_Y_uT,Magnetometer_Z_uT,Quaternion_I,Quaternion_J,Quaternion_K,Quaternion_Real,Temperature_degC,Pressure_hPa,Humidity_percentRH,Packet_counter,CSID,Cell_percentage_percent,Sensor_validity_bitmask,Linear_acceleration_valid,Gyroscope_valid,Magnetometer_valid,Quaternion_valid,GPS_valid,State_of_charge_valid,Environmental_valid,All_data_fresh,Received_CRC16_decimal,RSSI_dBm,SNR_dB
17:27:51.819 -> 0.0000000,0.0000000,-17.000,243.70,-0.02,-0.02,-0.01,-0.1,-0.1,0.0,-512.0,92.4,512.0,0.01141,0.01819,-0.97839,0.20576,47.39,984.3,12.37,40,7,64.5,111,1,1,1,1,0,1,1,0,62364,-56.0,12.8
17:28:27.903 -> 0.0000000,0.0000000,-17.000,243.92,-0.01,-0.02,0.00,0.0,0.0,0.0,-512.0,93.1,512.0,0.01141,0.01819,-0.97839,0.20576,47.74,984.3,12.15,41,7,64.5,111,1,1,1,1,0,1,1,0,32562,-57.0,13.0
17:28:41.953 -> 0.0000000,0.0000000,-17.000,237.88,0.01,0.01,0.00,0.0,0.0,0.0,77.1,240.3,-512.0,0.01752,0.02057,0.98206,0.18671,28.11,985.0,40.65,139,2,35.5,111,1,1,1,1,0,1,1,0,5017,-73.0,13.3
17:28:57.867 -> 0.0000000,0.0000000,-17.000,243.78,-0.03,0.03,-0.01,-0.1,0.2,0.1,-512.0,93.5,512.0,0.01086,0.01825,-0.97778,0.20862,47.69,984.3,12.15,42,7,64.5,111,1,1,1,1,0,1,1,0,56070,-59.0,12.3
17:29:29.021 -> 0.0000000,0.0000000,-17.000,243.95,0.02,0.00,-0.01,0.0,0.0,0.0,-512.0,94.3,512.0,0.01093,0.01837,-0.97760,0.20954,47.26,984.3,12.34,43,7,65.0,111,1,1,1,1,0,1,1,0,44875,-59.0,12.3
17:29:43.993 -> 0.0000000,0.0000000,-17.000,237.95,0.00,0.00,-0.01,0.0,0.0,0.0,76.8,240.3,-512.0,0.01758,0.02100,0.98334,0.17963,27.89,985.0,40.65,140,2,34.5,111,1,1,1,1,0,1,1,0,51769,-72.0,13.3
17:29:59.835 -> 0.0000000,0.0000000,-17.000,244.03,0.02,0.02,-0.05,0.1,-0.1,0.0,-512.0,92.8,512.0,0.01105,0.01819,-0.97748,0.21009,47.01,984.3,12.57,44,7,65.0,111,1,1,1,1,0,1,1,0,27490,-58.0,12.3
17:31:01.825 -> 0.0000000,0.0000000,-17.000,243.83,-0.02,0.02,0.00,0.0,0.0,0.0,-512.0,93.9,512.0,0.01080,0.01813,-0.97742,0.21021,47.66,984.3,12.24,46,7,65.0,111,1,1,1,1,0,1,1,0,32560,-58.0,12.3
17:31:36.994 -> 0.0000000,0.0000000,-17.000,243.49,0.00,-0.01,-0.01,-0.1,0.0,0.0,-512.0,93.9,512.0,0.01080,0.01813,-0.97742,0.21021,47.76,984.3,12.14,47,7,65.5,111,1,1,1,1,0,1,1,0,46029,-58.0,12.8
17:31:45.019 -> 0.0000000,0.0000000,-17.000,237.11,-0.04,0.00,0.00,0.1,0.1,-0.1,75.6,240.7,-512.0,0.01770,0.02100,0.98267,0.18317,28.06,985.1,40.67,141,2,34.0,111,1,1,1,1,0,1,1,0,54044,-73.0,12.8
17:32:11.821 -> 0.0000000,0.0000000,-17.000,243.76,-0.01,-0.01,-0.01,0.0,-0.1,0.0,-512.0,92.4,512.0,0.01129,0.01831,-0.97760,0.20930,47.96,984.3,12.02,48,7,65.5,111,1,1,1,1,0,1,1,0,60867,-58.0,12.3
