15:55:20.823 -> Latitude_deg,Longitude_deg,GPS_altitude_MSL_m,Environmental_altitude_m,Linear_acceleration_X_m_s2,Linear_acceleration_Y_m_s2,Linear_acceleration_Z_m_s2,Gyroscope_X_deg_s,Gyroscope_Y_deg_s,Gyroscope_Z_deg_s,Magnetometer_X_uT,Magnetometer_Y_uT,Magnetometer_Z_uT,Quaternion_I,Quaternion_J,Quaternion_K,Quaternion_Real,Temperature_degC,Pressure_hPa,Humidity_percentRH,Packet_counter,CSID,Cell_percentage_percent,Sensor_validity_bitmask,Linear_acceleration_valid,Gyroscope_valid,Magnetometer_valid,Quaternion_valid,GPS_valid,State_of_charge_valid,Environmental_valid,All_data_fresh,Received_CRC16_decimal,RSSI_dBm,SNR_dB
16:23:17.011 -> 0.0000000,0.0000000,-17.000,245.15,0.00,0.00,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.01184,-0.03546,0.00000,0.99933,35.75,984.1,32.39,50,2,54.5,111,1,1,1,1,0,1,1,0,32184,-51.0,13.0
16:23:31.812 -> 0.0000000,0.0000000,-17.000,252.40,-0.03,0.01,0.01,0.0,0.0,0.0,31.2,37.6,-33.9,-0.02466,0.03961,0.31562,0.94775,30.25,983.3,30.14,3,7,56.0,111,1,1,1,1,0,1,1,0,6682,-80.0,10.8
16:23:48.993 -> 0.0000000,0.0000000,-17.000,244.64,0.00,0.00,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01184,-0.03546,0.00000,0.99933,35.94,984.2,32.01,51,2,54.5,111,1,1,1,1,0,1,1,0,36182,-51.0,13.3
16:24:04.996 -> 0.0000000,0.0000000,-17.000,252.05,0.02,0.02,-0.03,0.0,0.0,0.0,30.2,37.1,-34.4,-0.02466,0.03967,0.31562,0.94775,30.01,983.3,30.46,4,7,56.0,111,1,1,1,1,0,1,1,0,618,-83.0,12.5
16:24:20.995 -> 0.0000000,0.0000000,-17.000,252.17,0.00,0.00,-0.01,0.2,-0.1,0.0,29.8,36.4,-33.3,0.00000,0.00000,0.00000,1.00000,29.85,983.3,30.67,0,2,56.5,103,1,1,1,0,0,1,1,0,12391,-84.0,11.5
16:24:24.003 -> 0.0000000,0.0000000,-17.000,245.06,0.01,0.00,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01184,-0.03546,0.00000,0.99933,36.31,984.2,31.57,52,2,54.5,111,1,1,1,1,0,1,1,0,36128,-50.0,13.0
16:24:53.007 -> 0.0000000,0.0000000,-17.000,252.24,0.01,0.00,-0.02,0.0,-0.1,0.1,31.1,37.3,-34.6,-0.02454,0.03906,0.32887,0.94324,29.61,983.3,31.15,1,2,56.5,111,1,1,1,1,0,1,1,0,37754,-80.0,11.0
16:24:58.989 -> 0.0000000,0.0000000,-17.000,245.00,0.01,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.01184,-0.03546,0.00000,0.99933,36.60,984.2,31.17,53,2,54.5,111,1,1,1,1,0,1,1,0,39159,-51.0,12.5
16:25:24.986 -> 0.0000000,0.0000000,-17.000,251.53,0.01,0.00,0.02,0.0,0.0,0.0,30.3,36.5,-34.8,-0.02417,0.03955,0.31605,0.94763,29.47,983.4,31.37,2,2,56.5,111,1,1,1,1,0,1,1,0,48755,-84.0,12.8
16:25:30.993 -> 0.0000000,0.0000000,-17.000,244.37,0.00,0.01,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01141,-0.03565,0.00000,0.99933,36.75,984.2,30.85,54,2,54.5,111,1,1,1,1,0,1,1,0,43763,-51.0,12.8
16:25:57.005 -> 0.0000000,0.0000000,-17.000,251.55,0.01,0.01,-0.02,0.0,0.0,0.0,30.4,36.8,-34.4,-0.02460,0.03961,0.31898,0.94665,29.37,983.4,31.57,3,2,56.5,111,1,1,1,1,0,1,1,0,15674,-80.0,11.0
16:26:02.998 -> 0.0000000,0.0000000,-17.000,244.33,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.01190,-0.03540,0.00000,0.99933,37.14,984.2,30.54,55,2,54.5,111,1,1,1,1,0,1,1,0,62552,-51.0,12.8
16:26:29.029 -> 0.0000000,0.0000000,-17.000,251.24,0.00,0.00,-0.02,0.0,0.0,0.0,31.3,37.9,-34.4,-0.02441,0.03967,0.32087,0.94598,29.23,983.4,31.88,4,2,56.5,111,1,1,1,1,0,1,1,0,60982,-81.0,11.3
16:26:34.993 -> 0.0000000,0.0000000,-17.000,244.44,0.00,0.00,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01166,-0.03552,0.00006,0.99933,37.19,984.2,30.27,56,2,54.5,111,1,1,1,1,0,1,1,0,53334,-51.0,13.0
16:27:01.019 -> 0.0000000,0.0000000,-17.000,251.33,0.01,0.00,0.02,0.0,0.0,0.0,31.0,37.3,-33.4,-0.02429,0.03967,0.31642,0.94745,29.18,983.4,32.02,5,2,56.5,111,1,1,1,1,0,1,1,0,20205,-78.0,13.5
16:27:09.993 -> 0.0000000,0.0000000,-17.000,244.11,0.00,0.00,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01166,-0.03552,0.00006,0.99933,37.01,984.3,30.10,57,2,54.5,111,1,1,1,1,0,1,1,0,59552,-50.0,12.8
16:27:35.009 -> 0.0000000,0.0000000,-17.000,251.31,0.00,0.01,-0.01,0.0,0.0,0.0,31.2,37.6,-34.3,0.00000,0.00000,0.00000,1.00000,29.01,983.4,32.28,0,2,55.5,103,1,1,1,0,0,1,1,0,41947,-73.0,12.3
16:27:42.002 -> 0.0000000,0.0000000,-17.000,244.24,0.00,0.01,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.01141,-0.03528,0.00000,0.99933,37.10,984.3,29.92,58,2,54.5,111,1,1,1,1,0,1,1,0,43137,-51.0,12.5
16:28:07.031 -> 0.0000000,0.0000000,-17.000,251.15,0.01,0.00,0.02,0.0,0.0,0.0,31.4,37.1,-34.6,-0.02448,0.03931,0.32496,0.94458,28.89,983.4,32.44,1,2,55.5,111,1,1,1,1,0,1,1,0,24778,-90.0,12.5
