21:14:42.321 -> Latitude_deg,Longitude_deg,GPS_altitude_MSL_m,Environmental_altitude_m,Linear_acceleration_X_m_s2,Linear_acceleration_Y_m_s2,Linear_acceleration_Z_m_s2,Gyroscope_X_deg_s,Gyroscope_Y_deg_s,Gyroscope_Z_deg_s,Magnetometer_X_uT,Magnetometer_Y_uT,Magnetometer_Z_uT,Quaternion_I,Quaternion_J,Quaternion_K,Quaternion_Real,Temperature_degC,Pressure_hPa,Humidity_percentRH,Packet_counter,CSID,Cell_percentage_percent,Sensor_validity_bitmask,Linear_acceleration_valid,Gyroscope_valid,Magnetometer_valid,Quaternion_valid,GPS_valid,State_of_charge_valid,Environmental_valid,All_data_fresh,Received_CRC16_decimal,RSSI_dBm,SNR_dB
21:28:06.191 -> 0.0000000,0.0000000,-17.000,261.51,0.00,0.00,0.00,0.0,0.0,0.0,-4.8,-40.7,-89.8,0.00745,0.00659,-0.99719,0.07428,26.69,982.2,38.57,74,6,58.5,111,1,1,1,1,0,1,1,0,17777,-52.0,13.3
21:28:16.216 -> 0.0000000,0.0000000,-17.000,261.51,0.00,0.00,0.00,0.0,0.0,0.0,-4.8,-41.8,-92.6,0.00739,0.00653,-0.99719,0.07428,26.67,982.2,38.58,75,6,58.0,111,1,1,1,1,0,1,1,0,43441,-52.0,13.5
21:28:26.235 -> 0.0000000,0.0000000,-17.000,261.12,0.04,0.00,0.00,0.0,0.0,0.0,-4.0,-41.1,-91.4,0.00647,0.00635,-0.99878,0.04871,26.66,982.3,38.63,76,6,58.0,111,1,1,1,1,0,1,1,0,56860,-52.0,13.3
21:28:36.252 -> 0.0000000,0.0000000,-17.000,261.44,-0.01,0.00,0.00,0.0,0.0,0.0,-5.5,-42.6,-91.4,0.00726,0.00635,-0.99915,0.04077,26.69,982.2,38.59,77,6,58.0,111,1,1,1,1,0,1,1,0,55562,-52.0,13.3
21:28:49.265 -> 0.0000000,0.0000000,-17.000,261.44,-0.01,0.00,0.00,0.0,0.0,0.0,-4.4,-42.2,-91.4,0.00726,0.00635,-0.99915,0.04077,26.72,982.2,38.55,78,6,58.0,111,1,1,1,1,0,1,1,0,58656,-52.0,13.0
21:28:58.289 -> 0.0000000,0.0000000,-17.000,261.51,-0.01,0.00,0.00,0.0,0.0,0.0,-3.3,-40.7,-92.6,0.00726,0.00635,-0.99915,0.03974,26.73,982.2,38.46,79,6,58.0,111,1,1,1,1,0,1,1,0,39706,-52.0,12.8
21:29:08.311 -> 0.0000000,0.0000000,-17.000,261.51,-0.01,0.00,0.00,0.1,0.1,0.0,-3.6,-41.1,-90.6,0.00732,0.00635,-0.99884,0.04724,26.68,982.2,38.50,80,6,58.0,111,1,1,1,1,0,1,1,0,31978,-52.0,13.0
21:29:18.333 -> 0.0000000,0.0000000,-17.000,261.43,0.00,0.00,0.00,0.1,0.0,0.0,-4.8,-41.1,-90.2,0.00763,0.00653,-0.99780,0.06525,26.70,982.2,38.53,81,6,58.0,111,1,1,1,1,0,1,1,0,38146,-53.0,12.8
21:29:28.348 -> 0.0000000,0.0000000,-17.000,261.12,-0.01,0.00,0.00,0.0,0.0,0.0,-4.0,-42.2,-92.2,0.00763,0.00641,-0.99780,0.06525,26.68,982.3,38.54,82,6,58.0,111,1,1,1,1,0,1,1,0,27540,-53.0,12.8
21:29:38.365 -> 0.0000000,0.0000000,-17.000,260.95,0.00,0.00,0.00,-0.2,0.1,0.0,-4.8,-41.8,-90.3,0.00769,0.00647,-0.99792,0.06323,26.68,982.3,38.71,83,6,58.0,111,1,1,1,1,0,1,1,0,43328,-52.0,13.0
