Latitude_deg,Longitude_deg,GPS_altitude_MSL_m,Environmental_altitude_m,Linear_acceleration_X_m_s2,Linear_acceleration_Y_m_s2,Linear_acceleration_Z_m_s2,Gyroscope_X_deg_s,Gyroscope_Y_deg_s,Gyroscope_Z_deg_s,Magnetometer_X_uT,Magnetometer_Y_uT,Magnetometer_Z_uT,Quaternion_I,Quaternion_J,Quaternion_K,Quaternion_Real,Temperature_degC,Pressure_hPa,Humidity_percentRH,Packet_counter,CSID,Cell_percentage_percent,Sensor_validity_bitmask,Linear_acceleration_valid,Gyroscope_valid,Magnetometer_valid,Quaternion_valid,GPS_valid,State_of_charge_valid,Environmental_valid,All_data_fresh,Received_CRC16_decimal,RSSI_dBm,SNR_dB
18:48:13.957 -> 0.0000000,0.0000000,-17.000,262.99,0.00,0.00,0.01,0.0,0.0,0.0,26.9,-80.8,30.4,0.15766,0.57158,0.77886,0.20447,26.57,982.1,32.78,13,2,71.0,111,1,1,1,1,0,1,1,0,30122,-64.0,12.8
18:48:23.968 -> 0.0000000,0.0000000,-17.000,262.88,0.00,0.00,-0.04,0.0,0.0,0.0,25.8,-82.7,30.4,0.14869,0.57414,0.78191,0.19202,26.57,982.1,32.78,14,2,71.0,111,1,1,1,1,0,1,1,0,37219,-63.0,13.3
18:48:33.980 -> 0.0000000,0.0000000,-17.000,262.61,0.00,0.00,0.02,0.0,0.0,0.0,25.1,-83.8,30.8,0.15308,0.57311,0.78039,0.19770,26.54,982.1,32.81,15,2,71.0,111,1,1,1,1,0,1,1,0,25126,-63.0,13.3
18:48:43.990 -> 0.0000000,0.0000000,-17.000,262.69,0.00,0.00,0.00,0.0,0.0,0.0,26.9,-83.1,30.0,0.15308,0.57317,0.78039,0.19770,26.57,982.1,32.78,16,2,71.0,111,1,1,1,1,0,1,1,0,29738,-63.0,13.0
18:48:55.003 -> 0.0000000,0.0000000,-17.000,262.42,-0.04,0.00,-0.04,0.0,0.0,0.0,28.4,-81.9,31.2,0.16083,0.57067,0.77783,0.20850,26.55,982.1,32.84,17,2,71.0,111,1,1,1,1,0,1,1,0,31786,-63.0,13.5
18:49:05.022 -> LoRa PHY CRC error: corrupted packet discarded.
18:49:12.970 -> 0.0000000,0.0000000,-17.000,262.67,0.00,0.00,0.00,0.0,0.0,0.0,28.0,-82.3,30.4,0.00000,0.00000,0.00000,1.00000,26.52,982.1,32.87,0,2,69.5,103,1,1,1,0,0,1,1,0,3469,-57.0,13.3
18:49:22.982 -> 0.0000000,0.0000000,-17.000,262.43,0.00,0.00,0.01,0.0,0.0,0.0,28.8,-81.9,30.8,0.14380,0.57543,0.78350,0.18513,26.47,982.1,32.94,1,2,69.5,111,1,1,1,1,0,1,1,0,55662,-58.0,13.0
18:49:33.994 -> 0.0000000,0.0000000,-17.000,262.24,0.00,0.00,0.02,0.0,0.0,0.0,26.2,-81.9,31.2,0.14380,0.57543,0.78350,0.18513,26.48,982.1,32.98,2,2,69.5,111,1,1,1,1,0,1,1,0,44441,-60.0,10.8
18:49:44.005 -> 0.0000000,0.0000000,-17.000,262.35,0.00,0.00,0.00,0.0,0.0,0.0,27.3,-82.7,30.0,0.14881,0.57427,0.78167,0.19233,26.52,982.1,32.91,3,2,69.5,111,1,1,1,1,0,1,1,0,34110,-59.0,13.3
